Rank,Name,twitter handle,Followers,Following,Tweets,Nationality/headquarters,Activity,Industry
71,BBC News (World),@BBCWorld,"2,63,24,451",71,"3,03,449",U.K,Television Channel,Television
72,Hillary Clinton,@HillaryClinton,"2,61,33,026",810,"11,342",U.S.A,Politician,Politics
73,Pitbull,@pitbull,"2,60,30,577","2,595","7,996",U.S.A,Rapper,Music
74,UEFA Champions League,@ChampionsLeague,"2,59,70,973",524,"63,966",Europe,Football League,Sports
75,daniel tosh,@danieltosh,"2,58,52,762",125,15,Germany,Comedian,Films/Entertainment
76,PRIYANKA Chopra,@priyankachopra,"2,54,77,964",540,"21,217",India,Actor,Films/Entertainment
77,Aamir Khan,@aamir_khan,"2,54,03,135",9,777,India,Actor,Films/Entertainment
78,NFL,@NFL,"2,48,44,160","2,592","2,00,879",U.S.A,Football League,Sports
79,Kourtney Kardashian,@kourtneykardash,"2,47,41,721",73,"13,349",U.S.A,Media personality,Films/Entertainment
80,Andrés Iniesta,@MesutOzil1088,"2,45,83,188",115,"1,689",U.S.A,Footballer,Sports
81,Mesut Özil,@andresiniesta8,"2,45,61,230",106,"2,230",Germany,Footballer,Sports
82,Shawn Mendes,@ShawnMendes,"2,44,51,861","57,964","14,945",Canada,singer-songwriter,music
83,The Economist,@TheEconomist,"2,42,08,562",121,"1,97,830",U.K,News paper,news
84,Coldplay,@coldplay,"2,37,03,132","1,492","7,686",U.K,Band,music
85,National Geographic,@NatGeo,"2,35,69,469",79,"52,714",U.S.A,Television network,Television
86,BTS,@BTS_twt,"2,31,45,832",129,"12,098",Korean,Band,Music
87,Marshall Mathers,@Eminem,"2,27,85,561",0,925,U.S.A,Rapper,Music
88,A.R.Rahman,@arrahman,"2,23,23,504",1,"5,183",India,Music Director,Music
89,Google,@Google,"2,16,51,645",214,"1,04,111",U.S.A,Technology company,Technology 
90,Avril Lavigne,@AvrilLavigne,"2,15,46,496",167,"4,107",Canada,singer-songwriter,music
91,Mariah Carey,@MariahCarey,"2,14,02,021",162,"9,030",U.S.A,singer-songwriter,music
92,David Guetta,@davidguetta,"2,12,37,538",348,"5,392",France,DJ,Music
93,Reuters,@Reuters,"2,09,66,197","1,109","4,74,764",U.K,News organization company,news
94,Premier League,@premierleague,"2,09,48,807",83,"1,11,920",U.K,Football league,Sports
95,Manchester United,@ManUtd,"2,07,57,728",127,"56,722",U.K,Football Club,Sports
96,Anushka Sharma,@AnushkaSharma,"2,07,02,308",127,"4,431",India,Actor,Films/Entertainment
97,Blake Shelton,@blakeshelton,"2,05,85,358",682,"11,409",U.S.A,Singer,music
98,Nicki Minaj,@NICKIMINAJ,"2,05,43,380","4,956","42,278",U.S.A,Rapper,Music
99,Ricky Martin,@ricky_martin,"2,04,59,564",426,"6,852",Puerto Rico,Singer,music
100,MohamadAlarefe,@MohamadAlarefe,"2,02,66,354",0,"23,387",Saudi Arabia,Author,Publishing Industry
