Country ,Country Code,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
"Congo, Rep.",COG,3454.245223,3557.620937,3632.298569,3581.36064,3361.735194,3469.89412,3581.491652,3517.61571,3584.683763,3441.354765,3677.147746,3790.96904,3914.89949,3906.125177,4028.312196,4337.194228,4591.995561,4483.926647,4663.011862,4886.383669,5214.502782,5353.804296,5518.967422,5667.595799,6017.671947,6089.839655,5833.995644,5614.398974,5662.063411,
Colombia,COL,5015.546448,5186.207756,5412.45975,5727.814571,6074.702868,6406.061853,6539.866367,6762.755772,6763.010234,6465.193665,6694.81285,6848.278541,7022.739601,7324.400853,7811.230086,8320.569299,9036.314249,9792.902952,10188.01706,10274.48986,10732.74905,11650.19949,12226.28584,12891.37931,13618.12436,14006.15358,14259.6093,14507.26125,15012.93027,
Comoros,COM,1674.552638,1590.333393,1714.471284,1756.240015,1651.298213,1698.591331,1661.112321,1711.188076,1706.963659,1720.001825,1900.656026,1939.276549,1967.64432,1998.168463,2042.269826,2114.657068,2183.490414,2206.559329,2283.896913,2318.430196,2376.538886,2465.324918,2531.037977,2627.3439,2668.895231,2664.270877,2719.296174,2812.034747,2913.387306,
Cabo Verde,CPV,1087.722637,1113.026593,1229.084715,1329.302131,1573.617554,1788.021678,1979.947083,2189.715987,2441.680365,2702.89912,3101.002514,3183.819402,3348.349609,3497.853193,3900.335986,4240.265086,4655.64533,5437.709911,5841.058767,5741.218207,5821.739805,6102.412164,6207.361424,6285.969823,6362.960401,6415.612462,6709.109916,7005.958684,7454.063917,
Costa Rica,CRI,5025.561226,5176.081213,5632.389804,6017.436804,6261.052379,6493.03982,6533.764943,6852.944809,7247.010945,7481.172756,7787.377759,8089.579389,8349.671125,8732.228946,9220.889154,9737.088813,10609.50688,11625.93049,12240.57907,12058.52382,12644.69665,13302.92828,14041.99378,14445.89836,15067.31118,15610.87955,16278.6019,16976.18742,17671.09535,
Caribbean small states,CSS,5930.407218,6211.766363,6493.589146,6795.561619,7065.166867,7353.525781,7680.198801,8002.878439,8269.70374,8672.794755,9143.378944,9486.903147,9949.76576,10737.21926,11432.07747,12151.1679,13352.91441,14092.37355,14501.98375,14001.53257,14273.0047,14623.85809,14979.85118,15311.64497,15560.61843,15811.35352,15549.41583,15701.59759,16187.11186,
Curacao,CUW,,,,,,,,,,,23271.89021,24497.70194,24953.45594,24969.86315,25256.10413,25558.82731,26084.51284,26910.08102,27683.25688,27566.0128,27559.19705,27907.86602,28168.83018,28115.0058,27941.56819,27947.82167,27679.64503,27626.64095,27743.07005,
Cayman Islands,CYM,,,,,,,,,63325.71994,62987.93461,62144.8997,61515.84102,61566.92107,62207.35227,62748.13144,67007.34676,70105.89991,72078.25335,71101.471,64698.99043,62158.60304,62861.18074,63666.6115,64546.38605,66497.01153,68131.32457,70049.98185,72607.57077,,
Cyprus,CYP,13327.69096,13525.60265,14736.88893,14829.18793,15711.12072,17069.64457,17297.51027,17778.82111,18758.50104,19662.68242,21291.43211,22871.52603,23556.26141,24252.82356,25921.20781,27763.21009,29984.36507,32849.77692,34830.3699,33891.67453,33421.04262,33313.53723,31834.49956,30375.21718,30042.81289,31722.36651,34379.46437,36875.12739,38513.28457,
Czech Republic,CZE,12659.85231,11595.61886,11787.73981,12061.94922,12673.35194,13752.51401,14583.43317,14730.61502,14906.39822,15324.10643,16190.80503,17554.48772,18189.23435,19426.08513,20799.15764,21956.38386,23776.48706,26124.89545,27844.79533,27599.30086,27667.4329,28797.41796,29047.24644,30485.71415,32263.31575,33691.42424,35230.52246,38019.58051,39743.59709,
Germany,DEU,19496.7874,21031.94889,21762.85505,21863.31176,22759.99775,23528.14888,24047.76137,24570.11241,25344.64585,26291.21108,27202.79337,28380.38412,29178.63747,29875.02793,31305.28794,31794.09601,34124.87427,36252.41196,37802.38743,36823.38028,38949.54976,42541.53109,43359.61483,44993.89275,47011.55109,47683.7886,49516.08269,52055.30995,53074.54012,
Djibouti,DJI,,,,,,,,,,,,,,,,,,,,,,2744.268655,,,,,,,,
Dominica,DMA,4320.712191,4529.867443,4715.758531,4911.881372,5003.498724,5259.135709,5534.324406,5780.245447,6101.676986,6242.865352,6549.08947,6687.479497,6584.450757,7106.074263,7489.875334,7751.066096,8342.414879,9100.901836,9934.093254,9889.384103,10068.0688,10249.89541,10328.73041,10397.44175,11054.63145,10857.20177,11236.95243,10649.41929,11129.86119,
Denmark,DNK,18215.50896,19044.46239,19794.11188,20197.84348,21655.93409,22661.04873,23711.01408,24925.79847,25813.63891,26653.8239,28662.09474,29449.6194,30640.34562,30786.24895,32908.68079,34150.15946,37295.65935,38968.5154,41278.32683,40339.67713,42999.61614,44403.38484,44803.96824,46726.85414,47901.44736,49058.50107,50877.44729,54282.54774,55671.16527,
Dominican Republic,DOM,3579.193224,3664.828134,4091.325661,4414.403569,4543.282581,4817.292293,5111.460783,5569.409244,5915.128614,6258.786434,6595.771906,6803.998794,7117.697385,7051.023517,7324.228267,8152.859622,9049.39913,9853.171718,10236.54484,10283.16147,11132.93764,11580.56878,11979.70226,12634.96457,13623.11821,14555.74119,15519.61682,16370.95618,17748.18532,
Algeria,DZA,6683.94251,6661.139592,6774.465962,6640.166811,6583.172604,6844.639633,7129.638422,7214.872707,7553.946588,7797.015071,8162.587573,8480.070459,8981.349267,9682.476035,10234.9309,11022.14747,11380.09442,11897.10382,12218.04739,12294.61249,12655.13741,13046.12851,13482.72112,13823.82823,14326.28301,14711.22085,15036.36415,15207.17915,15481.78762,
East Asia & Pacific (excluding high income),EAP,1442.176694,1581.833099,1759.38336,1962.647806,2181.951835,2410.347829,2637.762968,2829.56611,2853.594904,3032.056411,3295.111724,3552.649224,3851.210265,4221.389035,4676.257125,5235.225779,5911.191537,6734.512112,7375.894988,7925.710235,8725.224839,9574.184054,10408.33377,11260.59173,12147.65629,12973.81389,13841.67109,14901.09619,16113.5407,
Early-demographic dividend,EAR,2765.488453,2932.157999,3062.555524,3222.66641,3333.171149,3454.095473,3644.508743,3792.461554,3842.374428,3922.82347,4122.622963,4215.13293,4295.182857,4533.208604,4886.245556,5262.10921,5697.877096,6121.326961,6406.476519,6511.781311,6921.770351,7322.291207,7672.802406,8042.764359,8465.231701,8858.982785,9310.992004,9832.582256,10371.60394,
East Asia & Pacific,EAS,3203.655579,3448.687416,3672.069743,3911.8127,4194.282068,4509.335561,4827.003306,5079.546128,5079.309741,5316.195645,5716.416718,6013.606015,6385.851457,6801.526024,7382.317367,8033.165621,8820.133431,9753.849369,10380.94916,10782.69079,11705.41993,12595.7799,13472.39648,14411.23021,15283.38565,16136.07647,17011.72437,18108.20143,19329.7759,
Europe & Central Asia (excluding high income),ECA,6524.721226,6336.596376,5791.945909,5553.236198,5034.457335,5028.436261,5079.685668,5267.829853,5312.065554,5481.199632,6121.890196,6483.963187,6950.682153,7663.1696,8588.992459,9658.493778,11553.85911,12895.10965,14815.25736,14330.06687,15296.9439,17372.40528,18296.28423,19017.0427,19482.32448,19251.96079,19592.86613,20906.36067,21931.72445,
Europe & Central Asia,ECS,11606.61429,11895.98675,11923.28952,11989.31246,12204.31333,12684.54707,13116.11674,13688.1767,14205.14875,14753.10739,15887.0865,16690.30316,17490.97838,18141.63252,19261.67564,20307.4248,22474.1713,24083.21561,25738.78573,25026.93103,26070.69075,27865.1447,28589.4783,29595.83269,30357.72039,30851.99799,31768.48136,33620.43238,34702.55472,
Ecuador,ECU,4842.70098,5100.887735,5206.308021,5313.184848,5533.27229,5651.891043,5730.989219,5955.771123,6093.606525,5773.29451,5854.337577,6110.458846,6348.924913,6530.517214,7135.985853,7619.033946,8059.131304,8316.568167,8868.937591,8841.984389,9114.338328,9883.580029,10483.13413,11028.42904,11484.17161,11431.99158,11222.07849,11501.01029,11734.38739,
"Egypt, Arab Rep.",EGY,3827.27758,3911.345761,4090.918834,4221.970214,4394.281177,4601.444545,4821.409416,5071.02054,5307.041554,5598.32939,5971.668538,6199.410071,6327.810798,6528.675327,6852.14983,7249.452566,7839.842257,8471.343487,9091.000665,9411.304969,9814.298455,9982.845702,10172.98306,10340.54214,10601.16669,10938.86186,11294.24924,11742.05009,12412.3094,
Euro area,EMU,17006.07876,17966.07988,18544.11484,18764.88811,19572.69532,20419.19331,21051.89746,21913.90925,22960.55524,23840.94999,25319.12256,26505.96033,27535.03263,27952.96526,29051.41495,30076.70858,32500.33387,34385.21263,35709.63143,34794.94435,35768.84329,37435.67035,37801.921,38981.95612,39949.45202,41053.33332,42711.53742,45090.46101,46207.32351,
Eritrea,ERI,,,1053.043061,1233.397874,1540.971296,1628.684207,1818.464584,1997.287096,2045.085426,2046.168812,1977.56065,2121.702039,2124.888346,2009.73975,2002.327942,2037.792855,2013.889196,2042.664795,1838.043016,1888.61518,1921.43479,2102.95406,,,,,,,,
Spain,ESP,13664.44044,14449.38408,14843.10691,14960.26858,15569.57826,16262.45154,16958.07988,17910.87261,19096.2983,19954.29022,21587.25644,22958.76158,24371.59885,25018.36612,26119.79374,27606.93405,30688.36622,32438.17339,33263.2724,32098.97505,31680.18539,31867.97324,31720.12,32434.0032,33525.74063,34912.47613,36554.93455,38888.73547,39715.43906,
Estonia,EST,,,,5795.935102,5948.334447,6462.306689,6874.484544,7968.173845,8438.284079,8419.571355,9435.008551,10326.17942,11670.36527,13122.83916,14521.29779,16624.91204,19313.26424,22170.25226,22830.09032,20597.93347,21796.6101,24780.97878,26190.55295,27642.58537,29135.7044,29397.12984,30913.20512,33675.45771,35973.77646,
Ethiopia,ETH,424.823989,393.6859552,354.7678655,396.4717512,403.5779631,422.9777432,469.1491911,477.4863733,452.6620933,469.1280301,494.2873019,531.5337939,532.6266218,515.8733033,584.8968669,655.7866987,728.390516,811.0642774,891.2764327,950.5543294,1052.606672,1161.581434,1250.351222,1367.714144,1494.112052,1621.706726,1746.16277,1897.249077,2022.137961,
European Union,EUU,14810.28417,15481.41058,15947.91343,16180.79275,16921.8359,17724.77005,18320.31525,19059.08904,19959.99876,20738.04351,22069.49361,23169.06145,24178.35792,24669.34858,25829.2088,26802.47407,29083.33895,30991.10706,32479.88698,31808.78901,32846.84409,34463.41533,34933.98244,36083.60133,37072.67856,38222.59527,39807.68992,42187.13463,43398.9481,
Fragile and conflict affected situations,FCS,1854.56305,1457.636122,1553.129509,1659.218399,1703.011556,1755.451244,1868.050335,2014.55455,2249.279469,2406.633601,2458.938951,2528.331613,2491.320124,2338.860019,2702.681471,2904.929806,3133.906938,3313.509317,3490.115499,3598.581036,3794.578481,3590.686801,4025.291925,4170.812109,4200.987199,4242.61843,4455.619875,4560.668302,4665.188533,
Finland,FIN,18139.28789,17544.61898,17248.92076,17449.5559,18449.30434,19556.54644,20062.17354,21792.21748,23576.56558,24767.28067,26788.40847,27807.31978,28605.12232,29019.3104,31173.32308,32051.794,34419.38065,37801.78453,40083.69727,37980.06516,38953.3576,40916.83858,40873.09533,41493.14165,41757.40219,42535.47517,44015.52992,46735.41074,48416.93603,
Fiji,FJI,3823.297024,3810.163588,4084.347603,4210.820865,4457.222581,4605.403386,4858.688602,4782.822621,4854.09044,5316.663953,5312.128363,5517.36059,5774.530237,5934.624538,6403.401963,6618.784842,6892.836695,6947.961986,7078.627366,6965.538944,7202.758363,7520.373655,7758.218769,8262.957312,8882.388365,9372.542337,9670.841001,10329.43879,10879.47846,
France,FRA,17624.23797,18309.47206,18931.86995,19175.31268,19972.17932,20745.45823,21331.45043,22241.4129,23359.05849,24307.49879,26094.25256,27501.54241,28523.88573,28141.4614,29034.00071,30498.57929,32434.86026,34088.36008,35095.26296,34685.1738,35900.04557,37440.63863,37679.12178,39523.85395,40141.58548,40833.24207,42047.28724,44255.94164,45342.39574,
Faroe Islands,FRO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Micronesia, Fed. Sts.",FSM,1770.813987,1917.509028,1987.121983,2146.326421,2136.947406,2302.246057,2253.197662,2149.976173,2241.770188,2314.52735,2489.404148,2604.705446,2663.933614,2759.388483,2753.504963,2910.789014,3018.000788,3069.169281,3080.07978,3154.792793,3265.692825,3422.28921,3388.224899,3276.300421,3215.174418,3354.508395,3380.737346,3497.917541,3553.061455,
Gabon,GAB,12690.81935,13546.78876,13068.4785,13538.78752,13968.57192,14588.71407,15006.94945,15740.316,16066.72342,14483.9213,14182.23034,14453.96722,14301.43243,14537.38852,14655.94539,15106.77815,14708.23376,15549.51322,14863.56838,14514.77299,15190.41441,16011.1245,16536.56596,17116.34365,17548.27129,17819.55959,17839.8973,17762.40864,17875.76115,
United Kingdom,GBR,16698.34176,17022.74234,17428.60116,18248.57016,19312.1769,20522.31375,21851.84823,23039.9478,23637.00282,24414.68532,26407.20992,27756.81263,29068.59386,30261.57769,31964.59597,32668.22632,34767.00114,35600.00779,36660.19256,35003.49742,36340.73387,37161.49069,38311.84608,39971.02536,41259.00094,42509.88817,43543.58783,45378.99774,45973.5735,
Georgia,GEO,5413.801063,4384.984272,2452.121955,1761.137699,1636.677897,1780.09171,2090.211504,2426.512392,2593.3911,2762.575882,2932.733288,3190.188485,3448.844072,3927.811153,4293.788083,4883.042305,5536.086757,6433.362023,6737.558439,6599.447428,7145.520193,7897.696255,8627.623156,9122.490656,9699.506341,10081.43513,10480.96562,11191.33618,12004.57383,
